slug,decision
red-s-meadow-resort-mammoth-lakes,reject
wassermann-wranch-llc-alpine,reject
palo-pinto-mountains-state-park-strawn,reject
texas-border-tours-progreso-lakes,reject
west-texas-adventures-alpine,reject
deaf-smith-county-grain-processing-hereford,reject
montalvo-s-feed-store-hebbronville,reject
sierra-meadows-ranch-lodging-and-equestrian-boarding-mammoth-lakes,approve
palo-duro-riding-stables-canyon,approve
naylors-farm-ranch-supply-corpus-christi,reject
compton-warehouse-menard,reject
bee-county-district-clerk-s-office-beeville,reject
bee-county-courthouse-beeville,reject
horse-barn-lowgap,reject
texas-ranch-life-chappell-hill,reject
lasalle-western-wear-cotulla,reject
hemphill-county-exhibition-center-canadian,reject
florida-horse-park-ocala,reject
the-mansard-house-galveston,reject
hemphill-county-recreation-complex-rv-park-canadian,reject
hunewill-ranch-bridgeport,reject
cactus-jack-s-trail-rides-farm-tours-ocala,reject
davie-farms-davie,reject
island-farm-manteo,reject
deaf-smith-county-barn-hereford,reject
martin-community-college-williamston,reject
liz-cook-trail-ride-columbus,reject
hoffpauir-s-ranch-and-supply-lampasas,reject
crt-cataloochee-ranch-maggie-valley,reject
rock-hill-bed-bale-rv-park-arena-beckville,reject
averett-college-equestrian-center-providence,reject
santa-cruz-county-horsemen-s-association-santa-cruz,reject
wagon-trails-ranch-rides-by-andalusia-cattle-co-bunnell,reject
4b-farm-campground-troy,reject
broward-stables-davie,approve
winsome-view-farm-king,approve
by-the-creek-campground-and-horse-boarding-stables-beulaville,reject
last-frontier-ranch-wichita-falls,reject
north-carolina-rural-heritage-center-laurinburg,reject
longleaf-lodge-hoffman,reject
san-felasco-equestrian-trailhead-and-biking-trails-alachua,reject
coldspring-farm-ranch-coldspring,reject
greens-farm-landing-queen-city,reject
parrie-haynes-equestrian-center-killeen,reject
coram-ranch-shasta-lake,reject
drakesbad-guest-ranch-chester,reject
finish-line-feeds-dania-beach,reject
double-heart-ranch-rv-park-jasper,reject
hoof-prints-ranch-stephenville,reject
little-big-creek-horse-camp-waynesville,reject
painted-oaks-academy-orlando,reject
wholly-cow-farm-and-ranch-robstown,reject
rockin-horse-r-v-park-stables-fort-stockton,reject
hill-country-river-ranch-fredericksburg,reject
mountain-trail-stables-pinnacle,reject
wakulla-county-equestrian-center-crawfordville,reject
d-r-rv-park-and-equine-training-center-raiford,reject
the-sea-ranch-resort-kill-devil-hills,reject
herbs-for-horses-and-anything-smaller-caryville,reject
iron-horse-motorcycle-lodge-robbinsville,reject
sport-of-horses-park-snow-camp,reject
stubbe-ranch-southwest-ranches,reject
circle-bar-b-guest-ranch-stables-lodging-and-events-goleta,reject
reeves-county-feed-supply-pecos,reject
currituck-county-rural-center-powells-point,reject
randolph-county-nc-agricultural-center-asheboro,reject
kerrville-ranch-pet-center-kerrville,reject
grassy-island-equestrian-and-mtb-trail-okeechobee,reject
hale-county-farm-ranch-msm-hale-center,reject
lassen-county-fair-north-horse-arena-susanville,reject
kenedy-ranch-museum-south-tx-sarita,reject
colusa-county-fairgrounds-colusa,reject
king-ranch-saddle-shop-kingsville,reject
historic-prude-ranch-fort-davis,reject
jeff-feil-custom-saddles-brady,reject
n-c-cooperative-extension-edgecombe-county-center-tarboro,reject
starhill-farms-new-ulm,reject
rambling-ranch-boutique-clarendon,reject
triple-a-farm-and-ranch-rio-hondo,reject
smarty-supply-co-mount-pleasant,reject
victoria-farm-ranch-supply-co-victoria,reject
greenhorn-ranch-quincy,reject
coryell-feed-supply-gatesville,reject
florida-parade-of-retired-equine-champions-morriston,reject
springmaid-mountain-retreat-stables-spruce-pine,reject
big-bend-ranch-state-park-terlingua,reject
fair-weather-farm-brady,reject
laredo-ranch-heights-laredo,reject
hyder-mountain-horse-farm-clyde,approve
highlander-ranch-mclennan-community-college-waco,reject
modoc-farm-supply-alturas,reject
columbia-stage-line-and-stable-columbia,reject
rim-rock-motel-alturas,reject
tuckasegee-farm-animal-rescue-petting-zoo-bryson-city,reject
fort-clark-springs-brackettville,reject
n-c-cooperative-extension-scotland-county-center-laurinburg,reject
4c-s-rodeo-ranch-rv-park-stephenville,reject
el-primero-training-center-feed-laredo,reject
smith-station-stables-groveland,reject
bath-creek-stables-bath,approve
little-horse-creek-farm-lansing,approve
tryon-equestrian-center-rv-park-office-mill-spring,reject
cerda-ranch-harlingen,reject
five-brooks-ranch-olema,reject
wellington-international-equestrian-center-wellington,reject
peggy-s-circle-v-ranch-center-carrizo-springs,reject
rick-s-farm-home-clarksville,reject
odom-s-rocky-mountain-horse-ranch-whitney,reject
seminole-wind-ranch-eustis,reject
n-c-cooperative-extension-ashe-county-center-jefferson,reject
bailey-county-court-house-muleshoe,reject
mcculley-farms-jasper,reject
fairfield-farm-ranch-fairfield,reject
the-feed-store-aspermont,reject
oakhill-equestrian-park-davie,reject
muleshoe-feed-barn-muleshoe,reject
westgate-river-ranch-resort-rodeo-river-ranch,reject
stockmen-s-feed-bunk-inc-dalhart,reject
jeff-robertson-farms-llc-haskell,reject
mayan-dude-ranch-bandera,reject
the-jl-bar-ranch-resort-spa-sonora,reject
mar-vista-farm-cottages-anchor-bay,reject
stables-at-cedar-island-ranch-horseback-riding-cedar-island,reject
highland-springs-recreation-area-lake-county-parks-lakeport,reject
tradewinds-park-stables-coconut-creek,reject
sixteen-fourteen-ranch-sfr-texas-kilgore,reject
ranchers-supply-hereford-hereford,reject
river-rise-equestrian-camp-fort-white,reject
us-justice-department-horse-barn-laredo,reject
bushland-ranch-store-llc-laredo,reject
cedarock-equestrian-center-burlington,approve
apple-hill-farm-tickets-required-banner-elk,reject
taylor-county-horseman-s-perry,reject
moon-river-ranch-satin,reject
san-saba-equine-san-saba,reject
king-ranch-museum-kingsville,reject
country-road-farms-tack-western-sylva,reject
horst-farm-supply-alturas,reject
hamilton-farm-ranch-llc-hamilton,reject
kennedy-meadows-resort-packstation-pinecrest,reject
west-ranch-davie,reject
black-prong-resort-bronson,reject
blue-ridge-horse-adventures-inc-spruce-pine,reject
how-lyn-acres-southwest-ranches,reject
long-branch-rest-and-ride-r-v-and-horse-park-live-oak,reject
hickory-hammock-equestrian-campground-lorida,reject
hickory-hammock-equestrian-center-lorida,reject
big-sky-horse-boarding-rv-park-seminole,approve
lone-star-bed-bale-claude,reject
pecos-county-feed-supply-fort-stockton,reject
tanglewood-horse-riding-clemmons,reject
davie-feed-store-southwest-ranches,reject
7il-ranch-cat-spring,reject
cowboy-rv-park-and-horse-hotel-lubbock,reject
war-horse-ranch-uvalde,reject
mudbuddys-atv-park-hallettsville,reject
jb-florida-ranch-southwest-ranches,reject
leather-and-lace-event-center-sparta,reject
blue-horse-stables-abilene,approve
lone-mound-ranch-shamrock,reject
sunshine-ranches-equestrian-park-southwest-ranches,reject
dare-county-recreation-department-kill-devil-hills,reject
kinney-county-ranch-supply-brackettville,reject
johnson-feed-barn-coleman,reject
circle-p-ranch-supply-odessa,reject
the-red-barn-house-retreat-r-r-gilmer,reject
grif-s-western-inc-davie,reject
grifs-feed-pet-supply-davie,reject
arcangel-s-boarding-and-riding-horse-farm-southwest-ranches,approve
sweet-cypress-ranch-labelle,reject
blue-ridge-ranch-ferguson,reject
t-bar-s-horse-camp-kennard,reject
r-ranch-klamath-campground-hornbrook,reject
iron-horse-san-angelo,reject
bed-barn-farms-llc-forest-city,approve
surprise-valley-hotsprings-cedarville,reject
the-williams-ranch-huntsville,reject
lena-s-tack-room-del-rio,reject
orman-guest-ranch-stables-crescent-city,reject
deep-creek-horse-camp-bryson-city,reject
onslow-county-parks-hines-farm-park-stables-jacksonville,reject
escambia-county-equestrian-center-pensacola,reject
lazy-t-ranch-leona-valley,reject
florida-agricultural-legacy-learning-center-inc-palm-coast,reject
tropical-park-miami,reject
the-official-history-center-for-aransas-county-rockport,reject
tractor-supply-co-blountstown,reject
twin-elm-guest-ranch-bandera,reject
dos-plumas-hunting-ranch-trent,reject
motley-farm-ranch-supply-matador,reject
dixie-dude-ranch-bandera,reject
rattlesnake-point-kayak-launch-rockport,reject
gibson-ranch-regional-park-elverta,reject
denton-valley-farms-clyde,reject
jimmy-suzy-watson-san-angelo,reject
the-sugar-spice-ranch-bandera,reject
livery-stable-saloon-socorro,reject
deaf-smith-county-extension-hereford,reject
sutton-county-feed-and-supply-sonora,reject
marble-mountain-ranch-somes-bar,reject
larock-rv-horse-camp-fredericksburg,reject
brothers-farm-and-ranch-llc-harlingen,reject
dandy-western-wear-sweetwater,reject
red-barn-farms-gates,reject
cibolo-creek-ranch-marfa,reject
adama-acres-ranch-trenton,reject
farm-bureau-livestock-arena-albemarle,reject
2-bar-m-ranch-red-bluff,reject
childress-atv-moto-park-childress,reject
gulf-farm-and-ranch-edna,reject
okeechobee-county-agri-civic-center-okeechobee,reject
last-republic-of-texas-international-boundary-marker-carthage,reject
boykin-springs-recreation-area-zavalla,reject
dogwood-farm-ranch-fort-hancock,reject
student-horse-center-fresno,reject
frijole-horse-campground-dell-city,reject
bowerman-barn-trinity-center,reject
swisher-county-cattle-co-tulia,reject
pine-cliff-equestrian-trail-head-havelock,reject
bristol-fields-horse-camp-hayesville,reject
gadsden-horsman-s-association-quincy,reject
horseshoe-meadow-equestrian-camp-lone-pine,reject
wildcatter-ranch-resort-steakhouse-graham,reject
ebenezer-park-jasper,reject
jefferson-equestrian-area-thonotosassa,reject
plumas-national-forest-quincy,reject
hpw-ranch-uvalde,reject
armadillo-riding-a-watermelon-pump-jack-luling,reject
cuneo-creek-horse-group-camp-honeydew,reject
horse-camp-mount-shasta,reject
pony-pen-ocracoke,reject
pepperdine-equestrian-campground-alturas,reject
kenny-s-ranch-eldorado,reject
big-pond-equestrian-campground-quanah,reject
the-texas-twisted-sisters-nw-corner-rocksprings,reject
schleicher-county-park-eldorado,reject
piney-creek-horse-camp-kennard,reject
buggy-whip-equestrian-campground-sulphur-springs,reject
palo-duro-original-ja-ranch-headquarters-clarendon,reject
chaparrosa-ranch-la-pryor,reject
oppenheimer-family-equine-center-san-luis-obispo,reject
u-s-border-patrol-horse-stables-mission,reject
forever-painted-horse-wichita-falls,reject
campo-seco-equestrian-trailhead-valley-springs,reject
buena-vista-equestrian-center-yorba-linda,approve
